Time,Low,Open,High,Close
5/5/2017 12:00:00 AM,13.46,17.85,17.85,15.09
6/6/2017 12:00:00 AM,16.875,18.25,19.265,18.845
7/7/2017 12:00:00 AM,17.155,21.88,21.88,17.6
8/8/2017 12:00:00 AM,13.38,14.365,14.365,13.49
9/9/2017 12:00:00 AM,17.325,18.84,21.23,20.21
10/10/2017 12:00:00 AM,23.25,23.25,26.68,26.195
11/11/2017 12:00:00 AM,22.315,23.29,24.075,22.515
12/12/2017 12:00:00 AM,19.285,20.54,20.685,19.62
1/1/2018 12:00:00 AM,19.745,19.745,20.505,20.505
2/2/2018 12:00:00 AM,22.2,23.47,24.66,23.355
3/3/2018 12:00:00 AM,22.455,24.42,24.58,23.91
4/4/2018 12:00:00 AM,35.41,39.645,39.645,37.475
5/5/2018 12:00:00 AM,37.88,38.27,39.545,38.93
6/6/2018 12:00:00 AM,39.045,39.045,43.915,43.58
7/7/2018 12:00:00 AM,41.73,42.575,45.515,45.425
8/8/2018 12:00:00 AM,50.765,53.08,54.695,54
9/9/2018 12:00:00 AM,58.105,60.68,60.68,59.46
10/10/2018 12:00:00 AM,50.48,54.79,54.79,51.35
11/11/2018 12:00:00 AM,39.22,39.22,41.65,41.545
12/12/2018 12:00:00 AM,35.355,39.33,40.12,35.425
1/1/2019 12:00:00 AM,17.935,18.76,19.595,19.545
2/2/2019 12:00:00 AM,19.65,21.07,21.66,19.985
3/3/2019 12:00:00 AM,17.69,17.825,19.645,19.515
4/4/2019 12:00:00 AM,15.775,16.48,16.815,16.02
5/5/2019 12:00:00 AM,20.02,20.875,21.275,20.505
6/6/2019 12:00:00 AM,19.525,20.15,20.47,19.935
7/7/2019 12:00:00 AM,30.19,30.47,32.075,30.465
8/8/2019 12:00:00 AM,23.88,25.315,25.525,24.41
9/9/2019 12:00:00 AM,34.515,37.015,38.42,35.055
10/10/2019 12:00:00 AM,21.69,23.035,24.42,23.035
11/11/2019 12:00:00 AM,21.225,21.24,22.69,22.675
12/12/2019 12:00:00 AM,20.355,22.025,22.045,20.85
1/1/2020 12:00:00 AM,25.625,27.4,27.4,26.32
2/2/2020 12:00:00 AM,19.455,19.78,20.41,20.205
3/3/2020 12:00:00 AM,16.97,17.025,18.05,17.545
4/4/2020 12:00:00 AM,9.615,10.625,10.91,9.785
5/5/2020 12:00:00 AM,11.865,12.855,13.15,12.275
6/6/2020 12:00:00 AM,16.69,17.15,18.11,17.635
7/7/2020 12:00:00 AM,23.525,25.5,25.5,23.76
8/8/2020 12:00:00 AM,14.535,15.27,15.415,15.335
9/9/2020 12:00:00 AM,14.985,15.66,15.66,15.045
10/10/2020 12:00:00 AM,11.4,11.545,11.905,11.66
11/11/2020 12:00:00 AM,10.895,11.275,11.35,11.215
12/12/2020 12:00:00 AM,17.14,20.16,20.21,18.59
