Time,Low,Open,High,Close
6/6/2010 12:00:00 AM,3.51,3.8,5,4.815
7/7/2010 12:00:00 AM,4.06,4.5,5.175,4.385
8/8/2010 12:00:00 AM,4.065,4.09,4.19,4.18
9/9/2010 12:00:00 AM,3.86,3.86,4.155,4.12
10/10/2010 12:00:00 AM,4.05,4.12,4.275,4.06
11/11/2010 12:00:00 AM,4.265,4.405,4.54,4.28
12/12/2010 12:00:00 AM,6.695,7.055,7.275,6.825
1/1/2011 12:00:00 AM,5.185,5.385,5.39,5.32
2/2/2011 12:00:00 AM,4.71,4.755,4.94,4.765
3/3/2011 12:00:00 AM,4.735,4.78,4.865,4.745
4/4/2011 12:00:00 AM,5.315,5.55,5.635,5.335
5/5/2011 12:00:00 AM,5.415,5.53,5.56,5.485
6/6/2011 12:00:00 AM,5.68,5.965,6.015,5.7
7/7/2011 12:00:00 AM,5.76,5.785,5.92,5.8
8/8/2011 12:00:00 AM,5.64,5.715,5.795,5.75
9/9/2011 12:00:00 AM,4.765,4.99,4.99,4.8
10/10/2011 12:00:00 AM,4.65,4.94,5,4.74
11/11/2011 12:00:00 AM,5.6,5.75,5.775,5.765
12/12/2011 12:00:00 AM,6.4,6.525,6.795,6.515
1/1/2012 12:00:00 AM,5.53,5.84,5.89,5.615
2/2/2012 12:00:00 AM,5.79,5.79,5.935,5.92
3/3/2012 12:00:00 AM,6.66,6.745,6.9,6.875
4/4/2012 12:00:00 AM,7.305,7.41,7.585,7.315
5/5/2012 12:00:00 AM,6.64,6.67,6.845,6.755
6/6/2012 12:00:00 AM,5.555,5.705,5.835,5.625
7/7/2012 12:00:00 AM,6.04,6.275,6.35,6.08
8/8/2012 12:00:00 AM,5.215,5.53,5.6,5.245
9/9/2012 12:00:00 AM,5.58,5.77,5.79,5.63
10/10/2012 12:00:00 AM,5.8,5.855,5.96,5.83
11/11/2012 12:00:00 AM,5.645,5.655,5.895,5.85
12/12/2012 12:00:00 AM,6.705,6.77,7,6.925
1/1/2013 12:00:00 AM,6.945,7.015,7.085,7.07
2/2/2013 12:00:00 AM,7.525,7.59,7.7,7.66
3/3/2013 12:00:00 AM,6.855,6.98,7.01,6.93
4/4/2013 12:00:00 AM,8.34,8.465,9.335,8.775
5/5/2013 12:00:00 AM,10.6,11.185,11.19,10.65
6/6/2013 12:00:00 AM,17.65,19.515,19.515,18.515
7/7/2013 12:00:00 AM,21.85,21.905,23.54,23.43
8/8/2013 12:00:00 AM,26.535,27.04,27.3,27.1
9/9/2013 12:00:00 AM,33.295,34.655,34.73,33.78
10/10/2013 12:00:00 AM,37.68,38.77,38.845,38.6
11/11/2013 12:00:00 AM,32.095,32.51,33.18,32.44
12/12/2013 12:00:00 AM,24.79,25.25,25.7,24.845
1/1/2014 12:00:00 AM,29.315,29.97,30.495,30.015
2/2/2014 12:00:00 AM,35.045,36.6,36.96,35.42
3/3/2014 12:00:00 AM,47,47.415,50.325,50.125
4/4/2014 12:00:00 AM,41.725,41.775,43.58,43.39
5/5/2014 12:00:00 AM,41.17,41.35,42.8,41.575
6/6/2014 12:00:00 AM,40.34,41.465,41.855,40.94
7/7/2014 12:00:00 AM,47.765,48.495,48.675,47.935
8/8/2014 12:00:00 AM,45.2,45.25,47.5,46.66
9/9/2014 12:00:00 AM,54.89,55.065,56.97,56.82
10/10/2014 12:00:00 AM,47.135,48.465,48.53,48.045
11/11/2014 12:00:00 AM,48.275,48.54,49.49,48.505
12/12/2014 12:00:00 AM,45.815,48.275,48.455,46.32
1/1/2015 12:00:00 AM,42.665,44.555,44.63,43.85
2/2/2015 12:00:00 AM,40.655,40.81,42.385,42.2
3/3/2015 12:00:00 AM,39.175,40.52,40.56,39.465
4/4/2015 12:00:00 AM,37.215,37.72,37.91,37.51
5/5/2015 12:00:00 AM,44.09,45.965,46.325,45.2
6/6/2015 12:00:00 AM,49.5,50.305,50.32,49.87
7/7/2015 12:00:00 AM,53.575,54.265,54.505,53.82
8/8/2015 12:00:00 AM,51.425,53.275,53.31,51.985
9/9/2015 12:00:00 AM,47.4,48.1,49.18,47.735
10/10/2015 12:00:00 AM,47.45,49.475,49.71,47.975
11/11/2015 12:00:00 AM,41.455,41.755,43.16,42.765
12/12/2015 12:00:00 AM,46.28,46.285,47.6,47.45
12/12/2016 12:00:00 AM,42.34,43.245,43.495,42.74
1/1/2017 12:00:00 AM,42.21,43.03,44.065,43.39
2/2/2017 12:00:00 AM,49.815,50.655,50.655,49.84
3/3/2017 12:00:00 AM,49.835,50.83,50.965,50
4/4/2017 12:00:00 AM,56.945,57.345,59.8,59.7
5/5/2017 12:00:00 AM,62.965,62.975,65.43,64.575
6/6/2017 12:00:00 AM,67.47,68.775,68.89,68.06
7/7/2017 12:00:00 AM,70.32,73.815,74.255,70.515
8/8/2017 12:00:00 AM,63.23,64.59,64.89,63.91
9/9/2017 12:00:00 AM,70.745,71.245,71.505,71.045
10/10/2017 12:00:00 AM,67.125,68.585,68.73,68.29
11/11/2017 12:00:00 AM,64.06,66.45,66.485,64.22
12/12/2017 12:00:00 AM,61.025,61.07,62.05,61.3
1/1/2016 12:00:00 AM,43.81,46.155,46.265,44.685
2/2/2016 12:00:00 AM,36.56,37.71,39.9,39.39
3/3/2016 12:00:00 AM,36.54,38.82,39.17,37.245
4/4/2016 12:00:00 AM,46.655,48.965,49.575,47.49
5/5/2016 12:00:00 AM,46.975,48.255,48.625,48.365
6/6/2016 12:00:00 AM,43.39,44.235,44.455,43.905
7/7/2016 12:00:00 AM,41.205,41.265,43.635,43.29
8/8/2016 12:00:00 AM,45.88,47.05,47.33,45.945
9/9/2016 12:00:00 AM,40.105,42.265,42.265,40.16
10/10/2016 12:00:00 AM,41.655,42.15,43.13,42.73
11/11/2016 12:00:00 AM,37.62,39.64,39.68,38.16
